Cleary's,53.3416481,-6.3213608
The Library Bar,53.3430838,-6.2641396
The Purty Loft,53.2952488,-6.1480491
The Horse Shoe,53.3200915,-6.3161146
Delaneys,53.3402121,-6.2655964
Chelsea Drugstore,53.3422564,-6.2643631
The Back Page,53.3585347,-6.273159
Arlington Bar & Restaurant,53.3472913,-6.2609008
Peggy Kelly's,53.3237548,-6.278506
Arthur Maynes,53.3216556,-6.2352771
Rody Boland's,53.3211247,-6.2654634
Mother Reilly's Bar & Restaurant,53.3207806,-6.2651459
Alfie Byrnes,53.334817,-6.2575719
Crawdaddy,53.3337524,-6.2624872
The Lobby Bar,53.3337092,-6.2624497
Tripod,53.3339494,-6.2626052
Scholars Bar (closed),53.3347705,-6.2748236
Kennys Lounge,53.3424332,-6.2944638
La Ruelle,53.340197,-6.2588312
CÃº Chulainn's at Croke Park,53.3563652,-6.2507754
Cheers,53.3542938,-6.262992
Senior Common Room,53.3448626,-6.2575823
Oscars Christchurch,53.3441347,-6.2697764
Fibbers Rock Bar,53.3457761,-6.2711082
Clifton Court Bar,53.3479727,-6.257976
J.T. Pims,53.3437169,-6.2642961
Sweeney's,53.344077,-6.2634646
Lanigans,53.3479963,-6.2578841
Lowry's,53.357574,-6.2483087
Parnell Park House (Closed),53.3736508,-6.2210799
Branigan's,53.3504075,-6.2597878
Camden Exchange,53.3351242,-6.2654081
Noctors,53.3507552,-6.2448064
The Vaults,53.3513612,-6.2494796
Everleigh Gardens,53.3351615,-6.2634856
Blue River Bistro Bar,53.3470317,-6.2376973
Oliveto,53.2920178,-6.1303418
Kielys of Mount Merrion,53.296478,-6.211426
T. O'Loughlins,53.29395,-6.1400487
Hill 16,53.3549974,-6.2572309
Premier Bar,53.3819717,-6.2917626
UCD Clubhouse Bar,53.3081294,-6.2270405
The Liquor Rooms,53.345308,-6.2671118
Davy Byrne's,53.3418854,-6.2594682
Craoibh ChiarÃ¡in GAA Club,53.373507,-6.2158181
The Bath,53.3373906,-6.2321754
The Irishtown House,53.3399687,-6.2231801
The Bernard Shaw,53.3317088,-6.2645036
Morley's,53.3560423,-6.2507725
House Dublin,53.3340114,-6.2551589
Den Bar,53.3322511,-6.2412802
The Beer Market,53.3433255,-6.2734068
Diceys,53.3359505,-6.2633588
Leggs pub,53.3341764,-6.254773
Charlemont Bar & Bistro,53.3309476,-6.259287
Vintage Cocktail Club,53.3450767,-6.2629605
Xico,53.337863,-6.2527928
